     N    Average Time   Average Count
     5         3.6e-07         5.41406
    10         4.6e-07         31.0059
    20        7.85e-07         87.9355
   100       3.065e-06         2516.99
   500     1.36886e-05         61313.8
  1000     2.74279e-05          248758
  2500     7.30529e-05     1.55431e+06
 10000      0.00031552     2.49042e+07
 25000     0.000776444     1.56001e+08
 50000      0.00151794     6.23888e+08
 75000       0.0022543     1.40416e+09
100000      0.00293394     2.49576e+09
