     N    Average Time   Average Count
     5         6.8e-07         4.29688
    10         6.9e-07         16.8418
    20        7.95e-07         53.5488
   100       1.007e-06         481.262
   500      1.3258e-06         3536.81
  1000      1.5415e-06         8080.49
  2500       1.775e-06         23497.5
 10000     1.98445e-06          114101
 25000     2.18834e-06          318514
 50000     2.34511e-06          687011
 75000     2.41378e-06     1.07277e+06
100000     2.52949e-06     1.47274e+06
