     N    Average Time   Average Count
     5           2e-07         5.41406
    10         2.2e-07         31.0059
    20         2.4e-07         87.9355
   100         5.9e-07         2516.99
   500        2.59e-06         61313.8
  1000      5.0407e-06          248758
  2500     1.24358e-05     1.55431e+06
 10000     5.05024e-05     2.49042e+07
 25000     0.000122495     1.56001e+08
 50000     0.000245293     6.23888e+08
 75000     0.000363526     1.40416e+09
100000     0.000482692     2.49576e+09
