     N    Average Time   Average Count
     5        8.82e-06         7.01758
    10        8.04e-06         20.7168
    20       1.091e-05         61.3555
   100       9.418e-06         538.686
   500      9.0684e-06         3853.62
  1000      9.3231e-06         8706.58
  2500     1.13784e-05         25119.2
 10000     9.62991e-06          120447
 25000     1.03362e-05          334099
 50000     1.04809e-05          718161
 75000     1.01005e-05     1.12103e+06
100000     1.06604e-05     1.53623e+06
