     N    Average Time   Average Count
     5           6e-07         4.29688
    10         6.3e-07         17.2363
    20         6.3e-07         48.5293
   100        8.11e-07         394.666
   500      1.0486e-06         3105.81
  1000       1.137e-06         7025.61
  2500     1.21948e-06         23158.6
 10000     1.33267e-06          157547
 25000     1.62088e-06          688140
 50000     1.97044e-06     2.41944e+06
 75000     2.28232e-06     5.11087e+06
100000     2.61926e-06     8.77892e+06
