     N    Average Time   Average Count
     5           4e-07         2.32031
    10         4.5e-07         8.24805
    20        5.25e-07         17.0059
   100        1.19e-06         94.5391
   500      4.6842e-06         495.521
  1000      8.9908e-06         993.389
  2500     2.22804e-05         2487.12
 10000     8.74664e-05         9977.65
 25000     0.000214348         24954.9
 50000     0.000428845         49913.4
 75000     0.000644711         74872.8
100000     0.000858054         99829.1
