     N    Average Time   Average Count
     5         3.2e-07         10.7109
    10         3.3e-07         36.2285
    20         3.9e-07         99.8066
   100        5.58e-07         894.047
   500       8.102e-07         6698.99
  1000       9.183e-07         16021.3
  2500     1.04428e-06           54087
 10000     1.12928e-06          277472
 25000     1.14338e-06          577001
 50000      1.1204e-06     1.18739e+06
 75000     1.25319e-06      1.9787e+06
100000     1.08626e-06     2.45333e+06
